point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
1_1_1_1,1,1,1,1,1,hit,-11.504,-0.635,2.814
1_1_1_1,1,1,1,1,1,peak,-11.504,-0.635,2.814
1_1_1_1,1,1,1,1,1,net,0.0,1.899,1.124
1_1_1_1,1,1,1,1,1,bounce,5.096,3.267,0.036
1_1_1_1,1,1,1,1,2,hit,12.937,5.654,1.427
1_1_1_1,1,1,1,1,2,peak,12.937,5.654,1.427
1_1_1_1,1,1,1,1,2,peak,4.12,1.865,2.103
1_1_1_1,1,1,1,1,2,net,0.0,0.131,1.917
1_1_1_1,1,1,1,1,2,bounce,-8.522,-3.516,0.035
1_1_1_1,1,1,1,1,3,hit,-12.23,-5.219,1.159
1_1_1_1,1,1,1,1,3,peak,-12.23,-5.219,1.159
1_1_1_1,1,1,1,1,3,peak,-5.084,-2.802,1.693
1_1_1_1,1,1,1,1,3,net,0.0,-1.111,1.38
1_1_1_1,1,1,1,1,3,bounce,6.225,0.946,0.035
1_1_1_1,1,1,1,1,3,peak,11.114,2.673,1.094
1_1_1_1,1,1,1,1,4,hit,12.869,3.293,0.937
1_1_1_1,1,1,1,1,4,peak,3.025,2.958,1.646
1_1_1_1,1,1,1,1,4,net,0.0,2.846,1.565
1_1_1_1,1,1,1,1,4,bounce,-9.621,2.456,0.035
1_1_1_1,1,1,1,1,5,hit,-14.756,2.199,0.997
1_1_1_1,1,1,1,1,5,peak,-14.756,2.199,0.997
1_1_1_1,1,1,1,1,5,peak,-6.181,0.337,1.684
1_1_1_1,1,1,1,1,5,net,0.0,-1.098,1.252
1_1_1_1,1,1,1,1,5,bounce,5.513,-2.469,0.034
1_1_1_1,1,1,1,1,5,peak,9.891,-3.599,0.979
1_1_1_1,1,1,1,1,6,hit,11.66,-4.074,0.804
1_1_1_1,1,1,1,1,6,peak,0.712,-3.621,1.611
1_1_1_1,1,1,1,1,6,net,-0.0,-3.601,1.607
1_1_1_1,1,1,1,1,6,bounce,-11.859,-3.459,0.034
1_1_1_1,1,1,1,1,6,last,-16.386,-3.339,0.88
1_1_2_1,1,1,2,1,1,hit,-11.563,0.793,2.851
1_1_2_1,1,1,2,1,1,peak,-11.563,0.793,2.851
1_1_2_1,1,1,2,1,1,net,0.11,-0.585,0.838
1_1_2_1,1,1,2,1,1,peak,0.11,-0.585,0.838
1_1_2_1,1,1,2,1,1,bounce,-0.11,-0.686,0.036
1_1_2_1,1,1,2,1,1,last,-0.706,-0.748,0.489
1_1_2_2,1,1,2,2,1,hit,-11.492,1.036,2.862
1_1_2_2,1,1,2,2,1,peak,-11.492,1.036,2.862
1_1_2_2,1,1,2,2,1,net,0.089,-1.038,0.808
1_1_2_2,1,1,2,2,1,peak,0.089,-1.038,0.808
1_1_2_2,1,1,2,2,1,bounce,-0.118,-1.395,0.036
1_1_2_2,1,1,2,2,1,last,-0.658,-1.672,0.461
1_1_3_1,1,1,3,1,1,hit,-11.551,-0.719,2.833
1_1_3_1,1,1,3,1,1,peak,-11.551,-0.719,2.833
1_1_3_1,1,1,3,1,1,net,-0.0,1.762,1.306
1_1_3_1,1,1,3,1,1,bounce,6.341,3.429,0.035
1_1_3_1,1,1,3,1,2,hit,12.803,5.315,1.148
1_1_3_1,1,1,3,1,2,peak,12.803,5.315,1.148
1_1_3_1,1,1,3,1,2,peak,5.572,3.422,1.463
1_1_3_1,1,1,3,1,2,net,0.0,1.973,1.227
1_1_3_1,1,1,3,1,2,bounce,-7.297,0.095,0.034
1_1_3_1,1,1,3,1,2,peak,-11.873,-1.03,0.722
1_1_3_1,1,1,3,1,3,hit,-12.328,-1.144,0.714
1_1_3_1,1,1,3,1,3,peak,-4.778,-1.204,1.234
1_1_3_1,1,1,3,1,3,net,0.0,-1.238,0.994
1_1_3_1,1,1,3,1,3,bounce,5.631,-1.262,0.036
