point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
1_1_1_1,1,1,1,1,1,hit,11.333,1.109,2.965
1_1_1_1,1,1,1,1,1,peak,11.333,1.109,2.965
1_1_1_1,1,1,1,1,1,net,0.0,-2.09,1.332
1_1_1_1,1,1,1,1,1,bounce,-6.636,-4.089,0.037
1_1_1_1,1,1,1,1,1,last,-13.902,-6.508,1.072
1_1_1_2,1,1,1,2,1,hit,11.35,0.619,2.846
1_1_1_2,1,1,1,2,1,peak,11.35,0.619,2.846
1_1_1_2,1,1,1,2,1,net,0.0,-0.827,1.393
1_1_1_2,1,1,1,2,1,bounce,-5.711,-1.909,0.035
1_1_1_2,1,1,1,2,2,hit,-13.436,-3.461,1.493
1_1_1_2,1,1,1,2,2,peak,-13.436,-3.461,1.493
1_1_1_2,1,1,1,2,2,peak,-8.104,-1.739,1.666
1_1_1_2,1,1,1,2,2,net,0.0,0.972,1.164
1_1_1_2,1,1,1,2,2,bounce,5.773,3.013,0.037
1_1_1_2,1,1,1,2,2,peak,10.197,4.696,0.746
1_1_1_2,1,1,1,2,3,hit,12.025,5.43,0.605
1_1_1_2,1,1,1,2,3,peak,6.439,4.16,1.073
1_1_1_2,1,1,1,2,3,net,-0.008,2.692,0.294
1_1_1_2,1,1,1,2,3,last,-0.008,2.692,0.294
1_1_2_1,1,1,2,1,1,hit,11.23,-1.019,2.906
1_1_2_1,1,1,2,1,1,peak,11.23,-1.019,2.906
1_1_2_1,1,1,2,1,1,net,0.0,0.25,0.972
1_1_2_1,1,1,2,1,1,bounce,-4.3,0.649,0.035
1_1_2_1,1,1,2,1,1,peak,-14.305,1.436,1.364
1_1_2_1,1,1,2,1,2,hit,-14.616,1.454,1.362
1_1_2_1,1,1,2,1,2,peak,-6.213,0.921,1.868
1_1_2_1,1,1,2,1,2,net,-0.0,0.537,1.539
1_1_2_1,1,1,2,1,2,bounce,7.811,0.059,0.037
1_1_2_1,1,1,2,1,3,hit,12.364,-0.234,0.96
1_1_2_1,1,1,2,1,3,peak,12.364,-0.234,0.96
1_1_2_1,1,1,2,1,3,peak,2.422,-1.475,1.955
1_1_2_1,1,1,2,1,3,net,0.0,-1.801,1.884
1_1_2_1,1,1,2,1,3,bounce,-9.479,-3.202,0.035
1_1_2_1,1,1,2,1,4,hit,-14.742,-4.008,1.433
1_1_2_1,1,1,2,1,4,peak,-14.742,-4.008,1.433
1_1_2_1,1,1,2,1,4,peak,-7.218,-1.891,1.733
1_1_2_1,1,1,2,1,4,net,-0.0,0.13,1.391
1_1_2_1,1,1,2,1,4,bounce,7.97,2.335,0.036
1_1_2_1,1,1,2,1,5,hit,12.519,3.557,0.809
1_1_2_1,1,1,2,1,5,peak,12.519,3.557,0.809
1_1_2_1,1,1,2,1,5,peak,1.701,3.158,1.858
1_1_2_1,1,1,2,1,5,net,0.0,3.091,1.827
1_1_2_1,1,1,2,1,5,bounce,-10.327,2.673,0.034
1_1_2_1,1,1,2,1,5,peak,-15.693,2.363,1.27
1_1_2_1,1,1,2,1,6,hit,-16.002,2.345,1.266
1_1_2_1,1,1,2,1,6,peak,-9.258,1.163,1.555
1_1_2_1,1,1,2,1,6,net,0.024,-0.55,0.894
1_1_2_1,1,1,2,1,6,peak,0.024,-0.55,0.894
1_1_2_1,1,1,2,1,6,bounce,-0.198,-0.726,0.036
1_1_2_1,1,1,2,1,6,last,-1.141,-0.931,0.757
1_1_3_1,1,1,3,1,1,hit,11.323,0.839,2.871
1_1_3_1,1,1,3,1,1,peak,11.323,0.839,2.871
1_1_3_1,1,1,3,1,1,net,0.0,-1.24,1.11
1_1_3_1,1,1,3,1,1,bounce,-5.244,-2.302,0.035
1_1_3_1,1,1,3,1,2,hit,-14.027,-4.241,1.29
1_1_3_1,1,1,3,1,2,peak,-14.027,-4.241,1.29
1_1_3_1,1,1,3,1,2,peak,-2.042,-2.499,3.31
1_1_3_1,1,1,3,1,2,net,0.0,-2.23,3.235
1_1_3_1,1,1,3,1,2,bounce,10.468,-0.936,0.035
1_1_3_1,1,1,3,1,3,hit,13.081,-0.904,1.305
1_1_3_1,1,1,3,1,3,peak,13.081,-0.904,1.305
1_1_3_1,1,1,3,1,3,peak,5.91,-1.692,1.652
1_1_3_1,1,1,3,1,3,net,0.0,-2.351,1.366
1_1_3_1,1,1,3,1,3,bounce,-7.417,-3.177,0.036
1_1_3_1,1,1,3,1,3,peak,-13.737,-3.976,1.165
1_1_3_1,1,1,3,1,4,hit,-16.479,-4.293,0.912
1_1_3_1,1,1,3,1,4,peak,-1.577,-1.012,2.053
1_1_3_1,1,1,3,1,4,net,-0.0,-0.669,2.037
1_1_3_1,1,1,3,1,4,bounce,12.885,2.536,0.036
1_1_3_1,1,1,3,1,4,last,19.85,3.732,0.896
